STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2003,,90.7755171299574,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2004,,91.6023454202843,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2005,,93.0478549245297,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2006,,94.535998693182,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2007,,95.6528335109627,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2008,,95.6777563435411,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1970,,38.829822,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1971,,40.524461,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1972,,42.543817,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1973,,44.713971,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1974,,46.519149,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1975,,48.269427,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1976,,50.519884,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1977,,52.600347,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1978,,54.224191,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1979,,55.776802,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1980,,56.24638,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1981,,57.18147,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1982,,57.773097,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1983,,59.668651,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1984,,61.244613,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1985,,62.65778,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1986,,63.60719,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1987,,64.477291,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1988,,66.140509,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1989,,68.442245,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1990,,70.860694,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1991,,73.324316,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1992,,75.196027,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1993,,76.660097,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,101.35522680599,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,103.162112785567,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2018,,103.375560775198,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2020,,105.319619722581,,P,Provisional value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,105.930193475381,,P,Provisional value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,DEU,Germany,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,IX,Index,Q,Constant prices,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2022,,106.460571761454,,P,Provisional value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1974,,1.042004,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1975,,-2.588166,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2017,,0.102073612243281,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2018,,1.99973511214133,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2019,,-0.655199826646435,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2020,,1.82173425175856,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2021,,2.65428421991616,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2022,,-0.917051749753028,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2004,,-0.392676812170589,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2005,,-0.248157010306072,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2006,,1.15742234220635,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2007,,3.94662527750635,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2008,,-3.31059052222509,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2009,,5.32393607513966,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2010,,-0.85885763178476,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2011,,1.88999620252035,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2012,,3.73524660071223,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2013,,-2.10438931597153,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2014,,-0.108602387676027,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2015,,2.306412749034,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2016,,-0.943295836362157,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1976,,-0.598523,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1977,,-5.657897,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1978,,1.362828,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1979,,1.340254,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1980,,1.97045,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1981,,4.952736,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1982,,-0.336988,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1983,,1.521744,,A,Normal value,0,Units,2015,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,NZL,New Zealand,A,Annual,GDPHRS,GDP per hour worked,_T,Total - all activities,PA,Percent per annum,Q,Constant prices,GY,"Growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1984,,2.374152,,A,Normal value,0,Units,2015,,2,Two
